condition,method,keypoints_img2,good_matches,ransac_inliers,mean_reprojection_error_px,joint_confidence_score,matching_score
low_light,SIFT + RANSAC,2307,1327,1179,0.60557621717453,734.3158097314042,0.8884702336096458
low_light,CLAHE + SIFT + RANSAC,3957,1583,1448,0.698696494102478,852.418313116649,0.9147188881869868
low_light,CLAHE + Multi-scale SIFT + RANSAC,4177,1614,1493,0.6205406983693441,921.297441960155,0.9250309789343246
motion_blur,SIFT + RANSAC,854,353,192,1.487930178642273,77.17258371968433,0.5439093484419264
motion_blur,CLAHE + SIFT + RANSAC,1420,346,197,1.5408854484558105,77.53202731737636,0.569364161849711
motion_blur,CLAHE + Multi-scale SIFT + RANSAC,1521,347,168,1.4869520664215088,67.55256857110892,0.484149855907781
defocus_blur,SIFT + RANSAC,859,429,310,1.2175493240356445,139.7939593225558,0.7226107226107226
defocus_blur,CLAHE + SIFT + RANSAC,1304,404,302,1.23411226272583,135.17673441867743,0.7475247524752475
defocus_blur,CLAHE + Multi-scale SIFT + RANSAC,1350,418,271,1.2765530347824097,119.03961641108961,0.6483253588516746
